NO|國別地區|中文片名|上映日期|申請人|出品|上映日數|上映院數|累計銷售票數|累計銷售金額
1|中華民國|兒子老子|2016/11/04|老灰狼影片製作有限公司|老灰狼影片製作有限公司|13|1|577|129,385
2|美國|怪物來敲門|2016/11/04|英屬維京群島商高捷全球開發有限公司台灣分公司|MONSTER CALLS, LLC|35|55|41,991|9,642,331
3|法國|玩命光頭|2016/11/04|原創娛樂股份有限公司|OTHER ANGLE PICTURES|38|6|1,052|186,365
4|美國|玩酷壞痞子|2016/11/04|聯影企業股份有限公司|PREMIERE ENTERTAINMENT GROUP, LLC|14|3|364|73,240
5|匈牙利|烈火邊境|2016/11/04|采昌國際多媒體股份有限公司|GEM ENTERTAINMENT KFT.|41|33|7,863|1,569,970
6|日本|秘密(2016)|2016/11/04|采昌國際多媒體股份有限公司|FREEWAY ENTERTAINMENT KFT.|35|12|8,165|1,907,207
7|美國|追殺厄夜叢林|2016/11/04|英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司|LIONS GATE INTERNATIONAL(UK) LIMITED|20|10|1,761|389,998
8|南韓|密探|2016/11/04|傳影互動股份有限公司|FINECUT CO., LTD|25|18|4,104|918,219
9|日本|異邦警察|2016/11/04|天馬行空數位有限公司|TOEI COMPANY, LTD.|14|8|1,156|238,101
10|中華民國|童夢|2016/11/04|勤習堂電影有限公司|勤習堂電影有限公司|20|7|1,667|331,740
11|挪威|絕命殺人院|2016/11/04|台北市影片商業同業公會|Epic Pictures Group, Inc.|23|1|475|100,235
12|中華民國|進擊之路|2016/11/04|海鵬影業有限公司|蔓菲聯爾創意製作有限公司|47|14|7,287|1,560,563
13|香港|點五步|2016/11/04|采昌國際多媒體股份有限公司|GOLDEN SCENE COMPANY LIMITED(高先電影有限公司)CREATEHK##電影發展基金|14|5|304|65,115
14|美國|獻給米其林的生命貴客|2016/11/04|海鵬影業有限公司|CINETIC RIGHTS MANAGEMENT LLC D/B/A FILMBUFF ("FILMBUFF")|28|6|1,610|344,520
15|美國|魔髮精靈|2016/11/04|美商廿世紀福斯影片股份有限公司台灣分公司|TWENTIETH CENTURY FOX INTERNATIONAL CORPORATION|47|77|57,260|13,135,212
16|南韓|下流的誘惑|2016/11/04|台北市影片商業同業公會|SONAMU PICTURES CO., LTD.|3|1|9|1,890
17|美國|比利•林恩的中場戰事|2016/11/11|双喜電影發行股份有限公司|TRISTAR PRODUCTIONS, INC.##S8 BILLY LYNN, LLC|54|83|276,476|109,407,462
18|中華民國|只要我長大|2016/11/11|華映娛樂股份有限公司|華映娛樂股份有限公司##日月星辰娛樂事業股份有限公司|21|10|2,082|456,207
19|中華民國|河北臺北|2016/11/11|東昊影業有限公司|李念修|6|1|607|136,835
20|中華民國|牯嶺街少年殺人事件|2016/11/11|中影股份有限公司|楊德昌電影有限公司##中影股份有限公司|55|13|11,048|2,674,943
21|愛爾蘭|陰桃術|2016/11/11|台北市影片商業同業公會|MPI Media Group|10|1|81|17,115
22|中華民國|單車天使|2016/11/11|牽猴子整合行銷股份有限公司|見素影像有限公司|45|17|11,732|2,554,458
23|美國|腸腸搞轟趴|2016/11/11|博偉電影股份有限公司|SONY PICTURES RELEASING INTERNATIONAL CORPORATION|28|44|26,800|6,221,749
24|南韓|熔爐|2016/11/11|車庫娛樂股份有限公司|CJ E&M CORPORATION|33|8|5,158|1,157,343
25|義大利|閨蜜瘋上路|2016/11/11|可樂藝術文創股份有限公|BAC FILMS DISTRIBUTION|14|4|559|108,745
26|波蘭|魅惑人魚姬|2016/11/11|絕色國際有限公司|WYTWÓRNIA FILMÓW DOKUMENTALNYCH I FABULARNYCH|16|4|127|28,710
27|美國|鋼鐵麥斯|2016/11/11|海樂影業股份有限公司|DOLPHIN FILMS INTERNATIONAL|38|49|32,938|6,959,602
28|義大利|魔魅俱樂部|2016/11/11|台北市影片商業同業公會|Jinga Films Limited|6|1|19|3,985
29|日本|惡魔蛙男|2016/11/12|美商華納兄弟(遠東)股份有限公司台灣分公司|WARNER BROS. PICTURES INTERNATIONAL|28|48|20,016|4,545,062
30|美國|怪獸與牠們的產地|2016/11/17|美商華納兄弟(遠東)股份有限公司台灣分公司|WARNER BROS. PICTURES INTERNATIONAL|48|89|1,236,303|305,956,889
31|日本|POKE'MONTHEMOVIEXY&Z波爾凱尼恩與機關人偶瑪機雅娜|2016/11/18|曼迪傳播有限公司|株式會社ポケモン|32|14|12,499|2,844,260
32|中華民國|一路順風|2016/11/18|香港商甲上娛樂有限公司台灣分公司|本地風光電影股份有限公司##台北影業股份有限公司##阿榮影業股份有限公司##華策影視國際傳媒有限公司|37|34|23,058|5,219,525
33|南韓|女孩青春紀事|2016/11/18|可樂藝術文創股份有限公|FINECUT CO., LTD.|10|2|38|8,160
34|日本|少女|2016/11/18|天馬行空數位有限公司|TOEI COMPANY, LTD.|25|13|3,005|692,766
35|中華民國|心靈時鐘|2016/11/18|威視股份有限公司|冬侯鳥電影文化事業有限公司|34|25|10,083|2,248,078
36|日本|失序男孩|2016/11/18|華影國際影藝有限公司|DREAM KID, INC|14|5|700|156,893
37|巴拿馬|光榮擂台|2016/11/18|英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司|LA PIEDRA FILMS, S.A.|20|8|860|162,050
38|美國|我們的輕狂年代|2016/11/18|財團法人中華民國電影事業發展基金會|采昌國際多媒體股份有限公司|14|7|1,098|231,320
39|中華民國|神戲|2016/11/18|社團法人台灣女性影像學|賴麗君##彭家如|22|5|1,656|385,732
40|南韓|極樂公寓2|2016/11/18|台北市影片商業同業公會|SONAMU PICTURES CO., LTD.|5|1|19|3,990
41|英國|路易的第9條命|2016/11/18|采昌國際多媒體股份有限公司|MIRAMAX UK LIMITED|32|31|5,657|1,224,786
42|法國|遇見黑天鵝王子|2016/11/18|天馬行空數位有限公司|UPSIDE|22|4|1,047|206,980
43|美國|魔女劫|2016/11/18|台北市影片商業同業公會|RAVEN BANNER ENTERTAINMENT INC.|3|1|7|1,470
44|澳洲|壁花女孩夢遊中|2016/11/21|台北市文化基金會|飛行國際、Memento|10|2|79|17,320
45|德國|24週|2016/11/25|海鵬影業有限公司|BETA|CINEMA|GMBH|19|5|1,307|264,890
46|香港|大手牽小手|2016/11/25|華映娛樂股份有限公司|滿滿額創作香港有限公司##星藝有限公司##無限動力實業有限公司|3|1|95|20,980
47|中華民國|不即不離|2016/11/25|牽猴子整合行銷股份有限公司|蜂鳥影像有限公司|14|3|877|181,080
48|美國|毛小孩選邊站|2016/11/25|安可電影股份有限公司|EPIC PICTURES GROUP, INC.|20|4|751|169,385
49|菲律賓|再見橄欖樹|2016/11/25|佳映娛樂國際股份有限公|SEVILLE INTERNATIONAL|21|3|462|89,715
50|香港|此情此刻|2016/11/25|華映娛樂股份有限公司|香港|MM2 ENTERTAINMENT HONG KONG LIMITED##香港 頂尖娛樂製作有限公司##香港 香港電影發展基金HONG KONG FILM DEVELOPMENT FUND##香港 高先電影有限公司##香港 創意時尚有限公司##大陸 廣東國奧體育發展有限公司|4|1|129|28,630
51|日本|死亡筆記本：決戰新世界|2016/11/25|車庫娛樂股份有限公司|NIPPON TELEVISION NETWORK CORPORATION|35|66|37,509|8,392,067
52|香港|江湖悲劇|2016/11/25|華映娛樂股份有限公司|本地制作有限公司##夢想沙龍娛樂文化有限公司##中辰企業策劃有限公司##萬創國際集團有限公司|3|1|98|21,580
53|香港|沖天火|2016/11/25|双喜電影發行股份有限公司|香港 天邦發展有限公司##大陸 和力辰光國際文化傳媒（北京）股份有限公司##大陸東陽華錄百納影視有限公司##大陸 天津貓眼文化傳媒有限公司##大陸 歡瑞世紀影視傳媒股份有限公司|25|21|2,237|471,335
54|法國|育陰房|2016/11/25|海樂影業股份有限公司|EUROPA CORP|26|45|23,472|5,273,898
55|法國|明日進行曲|2016/11/25|亮點國際影業有限公司|ELLE DRIVER|26|7|2,259|473,265
56|瑞士|牧羊小英雄|2016/11/25|聯影企業股份有限公司|ARRI MEDIA GMBH|14|2|577|113,930
57|義大利|美麗腥世界|2016/11/25|台北市影片商業同業公會|RAVEN BANNER ENTERTAINMENT INC.|5|1|21|4,390
58|法國|終極追殺令|2016/11/25|南強國際影視傳播有限公|GAUMONT|34|7|6,840|1,576,154
59|美國|絕命殺漠|2016/11/25|台北市影片商業同業公會|MPI Media Group|4|1|14|2,920
60|日本|暗殺教室劇場版|365日倒數計時|2016/11/25|木棉花國際股份有限公司|FUJI CREATIVE CORPORATION|23|6|5,476|1,295,762
61|美國|詭宴|2016/11/25|台北市影片商業同業公會|XYZ Films, LLC|5|1|42|8,880
62|中華民國|翡翠之城|2016/11/25|岸上影像有限公司|岸上影像有限公司##財團法人公共電視文化事業基金會|13|1|679|150,495
63|香港|導火新聞線|2016/11/25|華映娛樂股份有限公司|中國3D數碼娛樂有限公司##春秋永樂影視文化投資(北京)有限公司##捷成世紀文化產業集團有限公司##北京源石影視文化有限公司##愛奇藝影業(北京)有限公司|10|1|269|60,180
64|美國|鋼鐵英雄|2016/11/25|香港商甲上娛樂有限公司台灣分公司|IM GLOBAL, LLC|41|85|485,198|112,242,685
65|中華民國|櫥窗人生|2016/11/25|華聯國際多媒體股份有限公司|中華民國 華稷多媒體有限公司##大陸 福建若可文化產業有限公司##大陸 福建巨象文化傳播有限公司|21|11|1,825|388,800
66|中華民國|挖玉石的人|2016/11/26|岸上影像有限公司|岸上影像有限公司##財團法人公共電視文化事業基金會|5|1|106|22,055
